threshold,f1,fp,fn,flagged_rate,expected_cost
0.0020497015211731195,0.1356521739130435,989,5,0.8515562649640862,123900
0.0020514042116701603,0.13577023498694518,988,5,0.8507581803671189,123800
0.002055676653981209,0.13588850174216027,987,5,0.8499600957701516,123700
0.0020558566320687532,0.13600697471665213,986,5,0.8491620111731844,123600
0.0020603323355317116,0.13612565445026178,985,5,0.8483639265762171,123500
0.0020614098757505417,0.13624454148471615,984,5,0.8475658419792498,123400
0.0020665505435317755,0.13636363636363635,983,5,0.8467677573822825,123300
0.0020743494387716055,0.13648293963254593,982,5,0.8459696727853152,123200
0.0020749447867274284,0.13660245183887915,981,5,0.8451715881883479,123100
0.0020831760484725237,0.13672217353198948,980,5,0.8443735035913806,123000
0.002088423352688551,0.1368421052631579,979,5,0.8435754189944135,122900
0.002090824767947197,0.1369622475856014,978,5,0.8427773343974462,122800
0.002110001165419817,0.13708260105448156,977,5,0.8419792498004789,122700
0.0021236431784927845,0.13720316622691292,976,5,0.8411811652035116,122600
0.00212786509655416,0.13732394366197184,975,5,0.8403830806065443,122500
0.0021378074306994677,0.13744493392070484,974,5,0.839584996009577,122400
0.002138531766831875,0.13756613756613756,973,5,0.8387869114126097,122300
0.002139983233064413,0.13768755516328332,972,5,0.8379888268156425,122200
0.0021421227138489485,0.13780918727915195,971,5,0.8371907422186752,122100
0.002151623833924532,0.13793103448275862,970,5,0.8363926576217079,122000
0.002154139569029212,0.13805309734513274,969,5,0.8355945730247406,121900
0.002156530972570181,0.13817537643932684,968,5,0.8347964884277733,121800
0.002156774280592799,0.13829787234042554,967,5,0.833998403830806,121700
0.0021571272518485785,0.13842058562555457,966,5,0.8332003192338387,121600
0.0021597123704850674,0.13854351687388988,965,5,0.8324022346368715,121500
0.0021832191850990057,0.13866666666666666,964,5,0.8316041500399042,121400
0.002189905382692814,0.1387900355871886,963,5,0.830806065442937,121300
0.002189980586990714,0.13891362422083706,962,5,0.8300079808459697,121200
0.0021912436932325363,0.13903743315508021,961,5,0.8292098962490024,121100
0.0022164792753756046,0.1391614629794826,960,5,0.8284118116520351,121000
0.0022176343481987715,0.1392857142857143,959,5,0.8276137270550679,120900
0.002219335874542594,0.13941018766756033,958,5,0.8268156424581006,120800
0.0022197982762008905,0.13953488372093023,957,5,0.8260175578611333,120700
0.002220360329374671,0.1396598030438675,956,5,0.825219473264166,120600
0.0022278502583503723,0.13978494623655913,955,5,0.8244213886671987,120500
0.002255558269098401,0.13991031390134528,954,5,0.8236233040702314,120400
0.0022588034626096487,0.1400359066427289,953,5,0.8228252194732641,120300
0.00225906353443861,0.14016172506738545,952,5,0.8220271348762969,120200
0.002274327212944627,0.14028776978417265,951,5,0.8212290502793296,120100
0.0022803954780101776,0.1404140414041404,950,5,0.8204309656823623,120000
0.002307940972968936,0.14054054054054055,949,5,0.819632881085395,119900
0.002311409916728735,0.1406672678088368,948,5,0.8188347964884277,119800
0.00231768935918808,0.1407942238267148,947,5,0.8180367118914605,119700
0.0023203990422189236,0.14092140921409213,946,5,0.8172386272944933,119600
0.0023399321362376213,0.1410488245931284,945,5,0.816440542697526,119500
0.0023399489000439644,0.1411764705882353,944,5,0.8156424581005587,119400
0.0023482274264097214,0.14130434782608695,943,5,0.8148443735035914,119300
0.002358862664550543,0.1414324569356301,942,5,0.8140462889066241,119200
0.0023590477649122477,0.14156079854809436,941,5,0.8132482043096568,119100
0.0023655747063457966,0.14168937329700274,940,5,0.8124501197126895,119000
0.0023771373089402914,0.14181818181818182,939,5,0.8116520351157223,118900
0.002383881015703082,0.14194722474977253,938,5,0.810853950518755,118800
0.0024317095521837473,0.14207650273224043,937,5,0.8100558659217877,118700
0.002438140334561467,0.1422060164083865,936,5,0.8092577813248204,118600
0.0024409869220107794,0.14233576642335766,935,5,0.8084596967278531,118500
0.002447324339300394,0.14246575342465753,934,5,0.8076616121308858,118400
0.0024586350191384554,0.14076782449725778,934,6,0.8068635275339185,123400
0.002466097241267562,0.14089661482159194,933,6,0.8060654429369514,123300
0.002484970260411501,0.14102564102564102,932,6,0.8052673583399841,123200
0.0025032071862369776,0.14115490375802017,931,6,0.8044692737430168,123100
0.0025105762761086226,0.14128440366972478,930,6,0.8036711891460495,123000
0.0025138454511761665,0.1414141414141414,929,6,0.8028731045490822,122900
0.002519284375011921,0.14154411764705882,928,6,0.8020750199521149,122800
0.002522270893678069,0.14167433302667892,927,6,0.8012769353551477,122700
0.002528057899326086,0.141804788213628,926,6,0.8004788507581804,122600
0.0025447141379117966,0.14193548387096774,925,6,0.7996807661612131,122500
0.002564450493082404,0.14206642066420663,924,6,0.7988826815642458,122400
0.002585998270660639,0.14219759926131118,923,6,0.7980845969672785,122300
0.00260669132694602,0.1423290203327172,922,6,0.7972865123703112,122200
0.0026069865562021732,0.14061054579093432,922,7,0.7964884277733439,127200
0.002607023576274514,0.14074074074074075,921,7,0.7956903431763767,127100
0.0026153402868658304,0.14087117701575533,920,7,0.7948922585794094,127000
0.0026225096080452204,0.14100185528756956,919,7,0.7940941739824421,126900
0.002645805710926652,0.14113277623026926,918,7,0.7932960893854749,126800
0.002687486819922924,0.1412639405204461,917,7,0.7924980047885076,126700
0.0026943653356283903,0.1413953488372093,916,7,0.7916999201915403,126600
0.0027022219728678465,0.14152700186219738,915,7,0.790901835594573,126500
0.002731196815147996,0.14165890027958994,914,7,0.7901037509976058,126400
0.002737385919317603,0.1417910447761194,913,7,0.7893056664006385,126300
0.00273800827562809,0.1419234360410831,912,7,0.7885075818036712,126200
0.0027557280845940113,0.14205607476635515,911,7,0.7877094972067039,126100
0.0027732604648917913,0.1421889616463985,910,7,0.7869114126097366,126000
0.002776981797069311,0.14232209737827714,909,7,0.7861133280127693,125900
0.002784716198220849,0.14245548266166824,908,7,0.7853152434158021,125800
0.0027887551113963127,0.1425891181988743,907,7,0.7845171588188348,125700
0.002803567796945572,0.14272300469483568,906,7,0.7837190742218675,125600
0.002806236734613776,0.14285714285714285,905,7,0.7829209896249002,125500
0.0028143052477389574,0.14111006585136407,905,8,0.7821229050279329,130500
0.0028165983967483044,0.14124293785310735,904,8,0.7813248204309656,130400
0.00281918584369123,0.1413760603204524,903,8,0.7805267358339985,130300
0.0028381540905684233,0.14150943396226415,902,8,0.7797286512370312,130200
0.0028814617544412613,0.141643059490085,901,8,0.7789305666400639,130100
0.0028836203273385763,0.14177693761814744,900,8,0.7781324820430966,130000
0.002889615250751376,0.14191106906338694,899,8,0.7773343974461293,129900
0.0028949689585715532,0.14204545454545456,898,8,0.776536312849162,129800
0.0028981363866478205,0.14218009478672985,897,8,0.7757382282521947,129700
0.0029006204567849636,0.14231499051233396,896,8,0.7749401436552275,129600
0.0029275682754814625,0.14245014245014245,895,8,0.7741420590582602,129500
0.002935610478743911,0.14258555133079848,894,8,0.7733439744612929,129400
0.002943303668871522,0.142721217887726,893,8,0.7725458898643256,129300
0.0029819468036293983,0.14285714285714285,892,8,0.7717478052673583,129200
0.0029870718717575073,0.14299332697807435,891,8,0.770949720670391,129100
0.003009693929925561,0.1431297709923664,890,8,0.7701516360734237,129000
0.003021633019670844,0.14326647564469913,889,8,0.7693535514764565,128900
0.003025725483894348,0.14340344168260039,888,8,0.7685554668794893,128800
0.003027020487934351,0.14354066985645933,887,8,0.767757382282522,128700
0.003030066844075918,0.14367816091954022,886,8,0.7669592976855547,128600
0.0030421519186347723,0.14381591562799617,885,8,0.7661612130885874,128500
0.003061816794797778,0.14395393474088292,884,8,0.7653631284916201,128400
0.0030677085742354393,0.1440922190201729,883,8,0.7645650438946529,128300
0.0030909832566976547,0.14423076923076922,882,8,0.7637669592976856,128200
0.0030959551222622395,0.14436958614051973,881,8,0.7629688747007183,128100
0.0031113605946302414,0.14450867052023122,880,8,0.762170790103751,128000
0.00311430380679667,0.1446480231436837,879,8,0.7613727055067837,127900
0.0031166067346930504,0.14478764478764478,878,8,0.7605746209098164,127800
0.0031184887047857046,0.14492753623188406,877,8,0.7597765363128491,127700
0.0031226419378072023,0.1450676982591876,876,8,0.7589784517158819,127600
0.003132896265015006,0.1452081316553727,875,8,0.7581803671189146,127500
0.003181426553055644,0.14534883720930233,874,8,0.7573822825219473,127400
0.0032022809609770775,0.1454898157129001,873,8,0.75658419792498,127300
0.0032226606272161007,0.14563106796116504,872,8,0.7557861133280128,127200
0.0032317335717380047,0.1457725947521866,871,8,0.7549880287310455,127100
0.0032384758815169334,0.14591439688715954,870,8,0.7541899441340782,127000
0.003245886415243149,0.1460564751703992,869,8,0.753391859537111,126900
0.003259399440139532,0.14619883040935672,868,8,0.7525937749401437,126800
0.0032933924812823534,0.14634146341463414,867,8,0.7517956903431764,126700
0.003305163700133562,0.146484375,866,8,0.7509976057462091,126600
0.003306599799543619,0.1466275659824047,865,8,0.7501995211492418,126500
0.003329202299937606,0.14677103718199608,864,8,0.7494014365522745,126400
0.0033388198353350163,0.14691478942213515,863,8,0.7486033519553073,126300
0.0033473819494247437,0.14705882352941177,862,8,0.74780526735834,126200
0.0033796352799981833,0.14720314033366044,861,8,0.7470071827613727,126100
0.0033805493731051683,0.14734774066797643,860,8,0.7462090981644054,126000
0.0033814634662121534,0.14749262536873156,859,8,0.7454110135674381,125900
0.003387660952284932,0.14763779527559054,858,8,0.7446129289704708,125800
0.003390962490811944,0.1477832512315271,857,8,0.7438148443735035,125700
0.00340810464695096,0.14792899408284024,856,8,0.7430167597765364,125600
0.0034130788408219814,0.14807502467917077,855,8,0.7422186751795691,125500
0.0034353032242506742,0.1482213438735178,854,8,0.7414205905826018,125400
0.0034418143332004547,0.14836795252225518,853,8,0.7406225059856345,125300
0.003448939649388194,0.1485148514851485,852,8,0.7398244213886672,125200
0.003491985611617565,0.14866204162537167,851,8,0.7390263367916999,125100
0.003508826484903693,0.1488095238095238,850,8,0.7382282521947326,125000
0.003530968679115176,0.14895729890764647,849,8,0.7374301675977654,124900
0.0035309805534780025,0.14910536779324055,848,8,0.7366320830007981,124800
0.0035544775892049074,0.14925373134328357,847,8,0.7358339984038308,124700
0.0035825283266603947,0.14940239043824702,846,8,0.7350359138068635,124600
0.003600963857024908,0.14955134596211367,845,8,0.7342378292098962,124500
0.003605296602472663,0.1497005988023952,844,8,0.7334397446129289,124400
0.003626459976658225,0.14985014985014986,843,8,0.7326416600159616,124300
0.003643133444711566,0.15,842,8,0.7318435754189944,124200
0.0036481823772192,0.15015015015015015,841,8,0.7310454908220272,124100
0.0036597854923456907,0.15030060120240482,840,8,0.7302474062250599,124000
0.003660655114799738,0.15045135406218657,839,8,0.7294493216280926,123900
0.003677123226225376,0.15060240963855423,838,8,0.7286512370311253,123800
0.003702221205458045,0.1507537688442211,837,8,0.727853152434158,123700
0.0037036053836345673,0.15090543259557343,836,8,0.7270550678371908,123600
0.0037239016965031624,0.1510574018126888,835,8,0.7262569832402235,123500
0.0037299268878996372,0.15120967741935484,834,8,0.7254588986432562,123400
0.0037705814465880394,0.15136226034308778,833,8,0.7246608140462889,123300
0.0037743952125310898,0.15151515151515152,832,8,0.7238627294493216,123200
0.003790948074311018,0.15166835187057634,831,8,0.7230646448523543,123100
0.0038005909882485867,0.15182186234817813,830,8,0.722266560255387,123000
0.003803021740168333,0.1519756838905775,829,8,0.7214684756584198,122900
0.0038047037087380886,0.15212981744421908,828,8,0.7206703910614525,122800
0.003819924546405673,0.15228426395939088,827,8,0.7198723064644852,122700
0.003827320644631982,0.1524390243902439,826,8,0.7190742218675179,122600
0.003841235302388668,0.1525940996948118,825,8,0.7182761372705507,122500
0.0038440260104835033,0.15274949083503056,824,8,0.7174780526735834,122400
0.0038653165102005005,0.1529051987767584,823,8,0.7166799680766162,122300
0.003869858104735613,0.1510204081632653,823,9,0.7158818834796489,127300
0.003911652602255344,0.1511746680286006,822,9,0.7150837988826816,127200
0.0039132749661803246,0.1492842535787321,822,10,0.7142857142857143,132200
0.003925099037587643,0.14943705220061412,821,10,0.713487629688747,132100
0.00393114797770977,0.14959016393442623,820,10,0.7126895450917797,132000
0.0039317733608186245,0.14974358974358976,819,10,0.7118914604948124,131900
0.003955715335905552,0.14989733059548255,818,10,0.7110933758978452,131800
0.003966403193771839,0.1500513874614594,817,10,0.7102952913008779,131700
0.003969806712120771,0.15020576131687244,816,10,0.7094972067039106,131600
0.003995557781308889,0.15036045314109167,815,10,0.7086991221069433,131500
0.00399762112647295,0.15051546391752577,814,10,0.707901037509976,131400
0.004002800211310387,0.15067079463364294,813,10,0.7071029529130087,131300
0.004005749244242907,0.15082644628099173,812,10,0.7063048683160414,131200
0.0040169511921703815,0.14891416752843847,812,11,0.7055067837190743,136200
0.00404413091018796,0.14906832298136646,811,11,0.704708699122107,136100
0.004045600071549416,0.14922279792746113,810,11,0.7039106145251397,136000
0.004091278184205294,0.14937759336099585,809,11,0.7031125299281724,135900
0.004100718069821596,0.14953271028037382,808,11,0.7023144453312051,135800
0.0041193473152816296,0.1496881496881497,807,11,0.7015163607342378,135700
0.004124941769987345,0.14984391259105098,806,11,0.7007182761372706,135600
0.004143968224525452,0.15,805,11,0.6999201915403033,135500
0.004158847499638796,0.1480709071949948,805,12,0.699122106943336,140500
0.004162508994340897,0.14822546972860126,804,12,0.6983240223463687,140400
0.004180546384304762,0.148380355276907,803,12,0.6975259377494014,140300
0.004185647238045931,0.14853556485355648,802,12,0.6967278531524341,140200
0.004201543517410755,0.1486910994764398,801,12,0.6959297685554668,140100
